Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2647.29543509952/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x8c0dc64a128f5a97fdfa518e764c88b1fe10c430c51269ad0532829cccbed3cc,19130047,1706747519,2/1/24 0:31,0xea5dcbbf41507220b540da81b84dbda4806dcd5d,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1,0,2647.295435,0.003837617,10.15930624,2303.34,,,New Offer ETH
0xebf28c713233083b2eac7ab23930d1e8f8fe30ad610586235159c2439438bf46,19130432,1706752187,2/1/24 1:49,0x60b6b72cc03ac245d869419ba45c6433e3beeb79,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.044,0,116.4809991,0.005472688,14.48782094,2303.34,,,New Offer ETH
0xc793de164321cbf02f9e67bd6f7ac0921fd29efeeaa911b9346636f552b7d1ed,19130927,1706758247,2/1/24 3:30,0xcf694b3f84cab6f9dde1450a8fbbec63e6dee384,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.001058201,0,2.801370831,0.003652537,9.669343276,2303.34,,,Fill Offer ETH
0xbe6e994abfa29bcc1ef2c8a1fe098ae746b8fb5843c4c9d719ac5db56549eb8b,19131064,1706759903,2/1/24 3:58,0xbf891e7efcc98a8239385d3172ba10ad593c7886,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.97,0,5215.172007,0.004120008,10.90687928,2303.34,,,New Offer ETH
0x334cbb3883070e937eae1655b9b49ab15fa48854a1631a1620dbec89353b8229,19131086,1706760167,2/1/24 4:02,0xea5dcbbf41507220b540da81b84dbda4806dcd5d,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.000035312,0,2647.388916,0.003383401,8.956862895,2303.34,,,Fill Offer ETH
0x78e88f74aa22b6e2f156705b23369519ea98a660f312ee4800dac24d37b9181e,19131531,1706765627,2/1/24 5:33,0x47c0d4fd47896e412559a6201107c96149ce6129,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0,0,0,0.001060259,2.806819383,2303.34,,,Cancel Offer
0xc8f8d4342760ac8a9808037a19f4fcac3ed9ed0a32b2cb1aca832d655db33456,19131546,1706765807,2/1/24 5:36,0x47c0d4fd47896e412559a6201107c96149ce6129,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,5,0,13236.47718,0.002721519,7.204664522,2303.34,,,New Offer ETH
0xa24373dada3f95065035b506165717111f1a9c365b18a5cc046e4d7784db1a92,19131833,1706769275,2/1/24 6:34,0xcad16a85868bc59fb09e76102f9bceeea6ac2f8a,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.5,0,1323.647718,0.003134442,8.297794732,2303.34,,,New Offer ETH
0x516d7ae3cff0dcc9ee0031aeabf123586fdde152839ce140f250e75af9ad676e,19132351,1706775527,2/1/24 8:18,0xf7bb78887dcda8a7f50874c35bf0cb9b1378a3a9,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.379803922,0,1005.453188,0.002774671,7.345373874,2303.34,,,Fill Offer ETH
0x1efe8630a506804f9044aaa538bfb0abfa73fdc099e43afc1ba88176d9e63a7a,19132530,1706777699,2/1/24 8:54,0xf7bb78887dcda8a7f50874c35bf0cb9b1378a3a9,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.15,0,397.0943153,0.003107584,8.226692492,2303.34,,,New Offer ETH
